R0,3173946.929451,0.041792,3173946.929499,3173946.971323
R1,3173947.096181,0.133472,3173947.096258,3173947.229742
R2,3173947.235128,0.018341,3173947.235135,3173947.253479
R3,3173947.455719,0.121834,3173947.455735,3173947.577580
R4,3173947.492844,0.067281,3173947.577586,3173947.644870
R5,3173947.522431,0.082600,3173947.644873,3173947.727477
R6,3173947.581431,0.060026,3173947.727481,3173947.787511
R7,3173947.622690,0.206605,3173947.787515,3173947.994124
R8,3173947.899183,0.105280,3173947.994127,3173948.099410
R9,3173947.990990,0.077822,3173948.099413,3173948.177238
R10,3173948.004880,0.023187,3173948.177241,3173948.200432
R11,3173948.006379,0.135879,3173948.200435,3173948.336318
R12,3173948.019801,0.042700,3173948.336321,3173948.379023
R13,3173948.035297,0.009600,3173948.379026,3173948.388629
R14,3173948.047938,0.020519,3173948.388632,3173948.409154
R15,3173948.669307,0.152254,3173948.669381,3173948.821646
R16,3173948.734709,0.029252,3173948.821652,3173948.850908
R17,3173948.820934,0.061912,3173948.850911,3173948.912826
R18,3173948.913202,0.300302,3173948.913207,3173949.213512
R19,3173948.975062,0.122966,3173949.213516,3173949.336488
R20,3173949.006526,0.122442,3173949.336491,3173949.458936
R21,3173949.074542,0.185106,3173949.458940,3173949.644050
R22,3173949.121021,0.036214,3173949.644069,3173949.680287
R23,3173949.151325,0.209469,3173949.680290,3173949.889762
R24,3173949.301224,0.248530,3173949.889765,3173950.138298
R25,3173949.307803,0.007499,3173950.138311,3173950.145811
R26,3173949.375673,0.090695,3173950.145813,3173950.236514
R27,3173949.395082,0.035757,3173950.236516,3173950.272276
R28,3173949.595942,0.001686,3173950.272279,3173950.273983
R29,3173949.601976,0.005431,3173950.273985,3173950.279420
R30,3173949.657610,0.293994,3173950.279423,3173950.573419
R31,3173949.682358,0.158606,3173950.573422,3173950.732030
R32,3173949.893719,0.064667,3173950.732033,3173950.796704
R33,3173949.921923,0.119013,3173950.796707,3173950.915723
R34,3173949.964686,0.091816,3173950.915725,3173951.007544
R35,3173950.030015,0.003339,3173951.007548,3173951.010889
R36,3173950.098971,0.223819,3173951.010892,3173951.234713
R37,3173950.151304,0.106364,3173951.234716,3173951.341083
R38,3173950.394120,0.111788,3173951.341086,3173951.452877
R39,3173950.424533,0.036419,3173951.452879,3173951.489301
R40,3173950.517409,0.015124,3173951.489304,3173951.504430
R41,3173950.623261,0.176741,3173951.504432,3173951.681176
R42,3173950.675995,0.033415,3173951.681179,3173951.714595
R43,3173950.836661,0.186534,3173951.714598,3173951.901135
R44,3173950.860307,0.096708,3173951.901139,3173951.997850
R45,3173950.899524,0.074024,3173951.997853,3173952.071880
R46,3173951.184463,0.163059,3173952.071882,3173952.234944
R47,3173951.281824,0.214719,3173952.234947,3173952.449670
R48,3173951.334469,0.140512,3173952.449673,3173952.590188
R49,3173951.380677,0.201567,3173952.590191,3173952.791762
R50,3173951.485473,0.020260,3173952.791765,3173952.812028
R51,3173951.545364,0.210611,3173952.812030,3173953.022645
R52,3173951.818168,0.177430,3173953.022649,3173953.200081
R53,3173951.832699,0.047129,3173953.200084,3173953.247216
R54,3173951.925858,0.027498,3173953.247219,3173953.274719
R55,3173952.013729,0.030616,3173953.274722,3173953.305340
R56,3173952.153898,0.021360,3173953.305343,3173953.326706
R57,3173952.207764,0.026941,3173953.326708,3173953.353652
R58,3173952.226650,0.044893,3173953.353658,3173953.398553
R59,3173952.300558,0.197754,3173953.398556,3173953.596313
R60,3173952.317459,0.011230,3173953.596316,3173953.607548
R61,3173952.327361,0.119092,3173953.607551,3173953.726645
R62,3173952.389553,0.227786,3173953.726648,3173953.954436
R63,3173952.769858,0.040266,3173953.954439,3173953.994706
R64,3173952.874721,0.038326,3173953.994708,3173954.033036
R65,3173953.000670,0.022026,3173954.033038,3173954.055068
R66,3173953.032345,0.023355,3173954.055070,3173954.078428
R67,3173953.112190,0.109777,3173954.078431,3173954.188219
R68,3173953.127226,0.131443,3173954.188222,3173954.319668
R69,3173953.139420,0.113898,3173954.319671,3173954.433572
R70,3173953.155721,0.249818,3173954.433575,3173954.683396
R71,3173953.162767,0.061436,3173954.683399,3173954.744839
R72,3173953.167677,0.022877,3173954.744841,3173954.767721
R73,3173953.185305,0.109934,3173954.767724,3173954.877662
R74,3173953.330627,0.285300,3173954.877665,3173955.162969
R75,3173953.427792,0.118834,3173955.162972,3173955.281810
R76,3173953.520538,0.012076,3173955.281813,3173955.293892
R77,3173953.529464,0.006788,3173955.293895,3173955.300687
R78,3173953.596232,0.019082,3173955.300689,3173955.319774
R79,3173953.602823,0.142751,3173955.319777,3173955.462531
R80,3173953.659083,0.117406,3173955.462533,3173955.579943
R81,3173953.736516,0.014312,3173955.579946,3173955.594261
R82,3173953.741370,0.019047,3173955.594263,3173955.613312
R83,3173954.828165,0.011172,3173955.613315,3173955.624488
R84,3173955.028798,0.004631,3173955.624490,3173955.629122
R85,3173955.585062,0.006256,3173955.629125,3173955.635385
R86,3173955.770921,0.213737,3173955.771024,3173955.984772
R87,3173955.771306,0.016575,3173955.984778,3173956.001356
R88,3173955.853231,0.041423,3173956.001359,3173956.042785
R89,3173955.869427,0.142759,3173956.042788,3173956.185549
R90,3173956.091446,0.067004,3173956.185552,3173956.252560
R91,3173956.131896,0.050211,3173956.252563,3173956.302778
R92,3173956.210642,0.008747,3173956.302781,3173956.311531
R93,3173956.316356,0.117992,3173956.316362,3173956.434357
R94,3173956.385158,0.404774,3173956.434361,3173956.839138
R95,3173956.418149,0.175048,3173956.839142,3173957.014194
R96,3173956.496366,0.082609,3173957.014197,3173957.096810
R97,3173956.621605,0.114795,3173957.096813,3173957.211612
R98,3173956.624889,0.216275,3173957.211615,3173957.427894
R99,3173956.787729,0.148173,3173957.427897,3173957.576074
R100,3173956.975527,0.113487,3173957.576077,3173957.689567
R101,3173957.328634,0.342518,3173957.689571,3173958.032093
R102,3173957.541079,0.057307,3173958.032096,3173958.089405
R103,3173957.641018,0.147669,3173958.089408,3173958.237079
R104,3173957.657304,0.006677,3173958.237082,3173958.243762
R105,3173957.857104,0.023756,3173958.243765,3173958.267525
R106,3173957.952471,0.021687,3173958.267527,3173958.289217
R107,3173958.042735,0.031755,3173958.289220,3173958.320979
R108,3173958.152381,0.021935,3173958.320982,3173958.342918
